PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,LATITUDE,LONGITUDE
Single Family Residential,1807 Colt Ln,Frederick,MD,21702,1100671,6,4.5,KELLERTON,5587,15906,2025,9,197,Active,39.466399,-77.458554
Single Family Residential,2617 Blazing Star St,Frederick,MD,21702,779990,3,4,BLOOMFIELDS,3998,6528,,14,195,Active,39.478634,-77.416032
Single Family Residential,2615 Blazing Star St,Frederick,MD,21702,749990,3,4,BLOOMFIELDS,3492,6120,,14,215,Active,39.478491,-77.416059
Single Family Residential,2613 Blazing Star St,Frederick,MD,21702,709990,2,3,BLOOMFIELDS,3331,6120,,14,213,Active,39.478346,-77.4159391
Single Family Residential,2622 Herb Shed Way,Frederick,MD,21702,684990,2,3,BLOOMFIELDS,2820,6120,,14,243,Active,39.478543,-77.416514
Single Family Residential,2002 Mustang Ct,Frederick,MD,21702,849990,4,4.5,TUSCARORA CREEK,4091,6947,2025,25,208,Active,39.472176,-77.427225
Single Family Residential,500 Slugger Aly Unit WYNDHAM,Frederick,MD,21702,673937,4,2.5,KELLERTON,2329,5662,2025,45,289,Active,39.46746665,-77.45037228
Single Family Residential,500 Slugger Aly Unit MILTON,Frederick,MD,21702,667500,4,2.5,KELLERTON,2232,5662,2025,45,299,Active,39.46746705,-77.45036596
Single Family Residential,2600 Kellerton Ave Unit NOTTINGHAM,Frederick,MD,21702,857520,4,2.5,KELLERTON,3600,10890,2025,49,238,Active,39.46798799,-77.45035491
Single Family Residential,2600 Kellerton Ave Unit DEVONSHIRE,Frederick,MD,21702,879428,4,2.5,KELLERTON,4016,10890,2025,49,219,Active,39.46737461,-77.45054909
Single Family Residential,2600 Kellerton Ave Unit MAGNOLIA,Frederick,MD,21702,818925,4,2.5,KELLERTON,2953,10890,2025,49,277,Active,39.46742707,-77.45018093
Single Family Residential,2600 Kellerton Ave Unit SAVANNAH,Frederick,MD,21702,812798,4,2.5,KELLERTON,2748,10890,2025,49,296,Active,39.46760298,-77.4505986
Single Family Residential,471 Hanson St,Frederick,MD,21701,764810,5,5.5,RENN QUARTER,3642,4000,2025,49,210,Active,39.417944,-77.389589
Single Family Residential,10225-B Bethel Rd,Frederick,MD,21702,929800,4,2.5,Frederick,,310147,2025,58,,Active,39.517664,-77.435331
Single Family Residential,473 Hanson St,Frederick,MD,21701,714000,5,5,RENN QUARTER,3213,4000,2025,60,222,Active,39.418033,-77.389693
Single Family Residential,472 Herringbone Way,Frederick,MD,21701,724990,5,5,RENN QUARTER,3213,4000,2025,60,226,Active,39.418247,-77.389339
Single Family Residential,475 Hanson St,Frederick,MD,21701,709990,5,5,RENN QUARTER,3213,4000,2025,60,221,Active,39.418126,-77.389793
Single Family Residential,TBB Mustang Ct Unit EMORY II,Frederick,MD,21702,754990,4,2.5,TUSCARORA CREEK,4205,6098,2025,78,180,Active,39.4713949,-77.4387792
Single Family Residential,TBB Reagans Rd Unit REGENT II,Frederick,MD,21702,682490,3,2.5,TUSCARORA CREEK,3650,6098,2025,78,187,Active,39.47208835,-77.43043508
Single Family Residential,TBB Mustang Ct Unit COLTON II,Frederick,MD,21702,709990,4,2.5,TUSCARORA CREEK,3485,6098,2025,79,204,Active,39.4720072,-77.42881322
Single Family Residential,TBB Reagans Rd Unit NEW HAVEN II,Frederick,MD,21702,672490,4,2.5,TUSCARORA CREEK,3442,6098,2025,79,195,Active,39.47207712,-77.43027873
Single Family Residential,476 Herringbone Way,Frederick,MD,21701,717346,5,5,RENN QUARTER,3213,4000,2025,90,223,Active,39.418434,-77.389535
Single Family Residential,8847 Indian Springs Rd,Frederick,MD,21702,994162,4,3.5,INDIAN RIDGE,3127,148104,2025,171,318,Active,39.4801327,-77.4691975
Single Family Residential,5908 Sleepy Hollow Dr,Frederick,MD,21702,1190000,4,4.5,Frederick,3680,121968,2024,214,323,Active,39.447935,-77.463353
Single Family Residential,7172A Meadowbrooke Dr,Frederick,MD,21702,1125000,4,4.5,Frederick,4225,361548,2024,304,266,Active,39.46994,-77.423007
Single Family Residential,4354 Brubaker Way Unit (LOT 4),Ijamsville,MD,21754,998000,4,3.5,Ijamsville,2611,40075,2024,471,382,Active,39.3544473,-77.3566692
Single Family Residential,Campbell Hill Way,Frederick,MD,21702,619990,4,2.5,Frederick,3133,,2025,52,198,Active,39.43992233,-77.45711517
Single Family Residential,Albright Homesite Special Plan,Frederick,MD,21702,674990,2,3,Frederick,2820,,,43,239,Active,39.476987,-77.414785
Single Family Residential,Albright Plan,Frederick,MD,21702,684990,2,3,Frederick,2820,,,45,243,Active,39.476987,-77.414785
