SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,LATITUDE,LONGITUDE
April-10-2024,Single Family Residential,6818 Hallard Ct,Frederick,MD,21703,510000,4,3,KINGSBROOK,1859,8922,2000,274,39.3849229,-77.4309814
April-10-2024,Single Family Residential,1131 Young Pl,Frederick,MD,21702,375000,3,2,COLLEGE ESTATES,1806,7192,1969,208,39.4352697,-77.4165463
April-11-2024,Single Family Residential,6131 Cornwall Ter,Frederick,MD,21701,650000,4,2.5,SPRING RIDGE,2420,11777,1990,269,39.403307,-77.3494915
April-12-2024,Single Family Residential,2724 Hillfield Dr,Frederick,MD,21702,907330,5,3.5,KELLERTON,5247,10500,2024,173,39.461919,-77.455764
April-12-2024,Single Family Residential,7050 Catalpa Rd,Frederick,MD,21703,440000,2,2,CRESTWOOD VILLAGE,1581,6930,1983,278,39.3864565,-77.4257894
April-15-2024,Single Family Residential,606 Lee Pl,Frederick,MD,21702,415000,,,Frederick,1146,10000,1945,362,39.4315671,-77.426336
April-15-2024,Single Family Residential,6254 Darlington Ct,Frederick,MD,21703,590000,4,2.5,BALLENGER CREEK,2054,10603,1992,287,39.3868581,-77.450051
April-15-2024,Single Family Residential,2007 Burnside Dr,Frederick,MD,21702,550000,4,3,WILLOW BROOK,2174,9221,1995,253,39.4671673,-77.4131693
April-16-2024,Single Family Residential,1001 Olympia St,Frederick,MD,21702,573615,3,2,Frederick,1723,8000,,333,39.47692199,-77.40806309
April-16-2024,Single Family Residential,6457 Bannister Ct,Frederick,MD,21701,845000,4,3.5,SPRING RIDGE,4021,10929,2000,210,39.4097387,-77.3323114
April-17-2024,Single Family Residential,24 W 12th St,Frederick,MD,21701,584000,4,2.5,Frederick,1658,6400,1940,352,39.4295481,-77.4091738
April-2-2024,Single Family Residential,9986 Harvest Dr,Frederick,MD,21702,360000,3,2,CRESTVIEW ESTATES,1104,14810,1986,326,39.5060672,-77.4346527
April-2-2024,Single Family Residential,3904 Braveheart Cir,Frederick,MD,21704,777500,4,2.5,URBANA HIGHLANDS,3381,4875,2005,230,39.3404234,-77.3286406
April-22-2024,Single Family Residential,2753 Hillfield Dr,Frederick,MD,21702,941805,6,4.5,KELLERTON,5603,9742,2024,168,39.461113,-77.455403
April-22-2024,Single Family Residential,2432 Cobblestone Way,Frederick,MD,21702,648000,4,3,WHITTIER,3626,18886,1994,179,39.452644,-77.4518135
April-24-2024,Single Family Residential,421 Lee Pl,Frederick,MD,21702,320000,3,1,VILLA ESTATES,840,10350,1950,381,39.4294759,-77.4295978
April-26-2024,Single Family Residential,5317 Kingsbrook Dr,Frederick,MD,21703,635000,4,3.5,KINGSBROOK,3055,7891,1993,208,39.3807593,-77.425586
April-26-2024,Single Family Residential,505 Pearl St,Frederick,MD,21701,317000,3,1,Frederick,864,6120,1959,367,39.4063906,-77.4264148
April-26-2024,Single Family Residential,803 Foundry St,Frederick,MD,21701,788990,5,5,RENN QUARTER,3979,5922,2024,198,39.419977,-77.389705
April-29-2024,Single Family Residential,8801 Jug Bridge Pl,Frederick,MD,21701,988120,5,4.5,Frederick,4103,6486,2024,241,39.397445,-77.3602779
April-29-2024,Single Family Residential,2461 5 Shillings Rd,Frederick,MD,21701,450000,2,2,WORMANS MILL,2014,4610,1993,223,39.4525287,-77.3861428
